input,context,serious,length,output
Missed team meeting,corporate,False,long,"What started as a minor delay escalated into a full saga of nonsense. I have returned, slightly wiser and much later."
Late to video conference,corporate,False,long,"A simple plan collapsed into chaos with impressive efficiency. I survived, though my schedule did not."
Late to video conference,corporate,False,long,"A simple plan collapsed into chaos with impressive efficiency. I survived, though my schedule did not."
Late to video conference,corporate,False,long,"What started as a minor delay escalated into a full saga of nonsense. I have returned, slightly wiser and much later."
Delayed report submission,corporate,False,long,"A simple plan collapsed into chaos with impressive efficiency. I survived, though my schedule did not."
Missed deadline,corporate,False,long,"Everything was proceeding normally until the universe changed its mind. After several absurd twists, I eventually made it out."
Forgot client call,corporate,False,long,"A simple plan collapsed into chaos with impressive efficiency. I survived, though my schedule did not."
Delayed report submission,corporate,False,long,"Everything was proceeding normally until the universe changed its mind. After several absurd twists, I eventually made it out."
Forgot client call,corporate,False,long,"What started as a minor delay escalated into a full saga of nonsense. I have returned, slightly wiser and much later."
Missed team meeting,corporate,False,long,"A simple plan collapsed into chaos with impressive efficiency. I survived, though my schedule did not."
Missed team meeting,corporate,False,long,"What started as a minor delay escalated into a full saga of nonsense. I have returned, slightly wiser and much later."
Forgot client call,corporate,False,long,"Everything was proceeding normally until the universe changed its mind. After several absurd twists, I eventually made it out."
Late to video conference,corporate,False,long,"What started as a minor delay escalated into a full saga of nonsense. I have returned, slightly wiser and much later."
Late project delivery,corporate,False,long,"Everything was proceeding normally until the universe changed its mind. After several absurd twists, I eventually made it out."
Late to video conference,corporate,False,long,"What started as a minor delay escalated into a full saga of nonsense. I have returned, slightly wiser and much later."
Late to video conference,corporate,False,long,"What started as a minor delay escalated into a full saga of nonsense. I have returned, slightly wiser and much later."
Late to video conference,corporate,False,long,"What started as a minor delay escalated into a full saga of nonsense. I have returned, slightly wiser and much later."
Skipped stand-up meeting,corporate,False,long,"Everything was proceeding normally until the universe changed its mind. After several absurd twists, I eventually made it out."
Forgot client call,corporate,False,long,"A simple plan collapsed into chaos with impressive efficiency. I survived, though my schedule did not."
